,Date,Mkt-RF,SMB,HML,RMW,CMA,RF,ADS_Index,SP500,AMERIBOR,T10YIE,T5YIE,BAMLH0A0HYM2,BAMLH0A0HYM2EY,DGS10,DGS1,RIFSPPFAAD90NB,DCPN3M,DCPF1M,DCOILWTICO,DHHNGSP,USRECD,USRECDM,USRECDP
120,6/25/2019,-0.98,0.41,0.71,-0.1,0.56,0.009,-0.15956,2917.38,2.42557598,1.67,1.52,4.09,5.9,2,1.93,2.25,2.28,2.33,57.63,2.31,0,0,0
121,6/26/2019,-0.06,0.02,0.25,0.37,-0.39,0.009,-0.17103,2913.78,2.42320513,1.7,1.56,4.05,5.93,2.05,1.96,2.23,2.26,2.31,59.17,2.34,0,0,0
122,6/27/2019,0.6,1.43,-0.09,-0.34,-0.22,0.009,-0.183575,2924.92,2.42400668,1.68,1.53,4.09,5.92,2.01,1.93,2.26,,2.33,59.18,2.32,0,0,0
123,6/28/2019,0.68,0.77,0.61,-0.46,0.11,0.009,-0.1972,2941.76,2.42137375,1.69,1.53,4.07,5.89,2,1.92,2.22,,2.32,58.2,2.42,0,0,0
124,7/1/2019,0.75,-0.59,-0.13,-0.13,0.05,0.009,-0.244927,2964.33,2.42003344,1.69,1.53,3.99,5.86,2.03,1.94,,2.23,2.3,58.91,2.33,0,0,0
125,7/2/2019,0.14,-0.96,-0.81,-0.02,-0.02,0.009,-0.260799,2973.01,2.41960535,1.65,1.5,4.04,5.86,1.98,1.91,2.26,,2.32,56,2.3,0,0,0
126,7/3/2019,0.78,-0.13,-0.33,-0.35,-0.05,0.009,-0.275325,2995.82,2.417,1.65,1.51,4.02,5.83,1.96,1.91,2.26,,2.36,57.06,2.29,0,0,0
127,7/5/2019,-0.1,0.34,0.91,0.13,-0.05,0.009,-0.300355,2990.41,2.41832678,1.69,1.55,3.98,5.89,2.04,1.98,,,2.35,,,0,0,0
128,7/8/2019,-0.58,-0.43,0.05,0.04,-0.26,0.009,-0.327607,2975.95,2.41971046,1.7,1.55,4,5.92,2.05,1.99,2.26,2.2,2.31,57.35,2.39,0,0,0
129,7/9/2019,0.18,-0.23,-0.43,-0.65,-0.19,0.009,-0.333543,2979.63,2.41896036,1.71,1.56,4.03,5.96,2.07,2,2.3,2.22,2.35,57.57,2.41,0,0,0
130,7/10/2019,0.4,-0.25,-0.36,0.11,-0.02,0.009,-0.337858,2993.07,2.41265106,1.74,1.59,4.01,5.91,2.07,1.93,2.28,2.25,2.32,60.28,2.49,0,0,0
131,7/11/2019,0.19,-0.77,0.04,-0.24,-0.56,0.009,-0.340556,2999.91,2.40938102,1.77,1.63,4,5.95,2.13,1.97,2.3,2.19,,59.93,2.54,0,0,0
132,7/12/2019,0.53,0.32,0.41,0.59,-0.09,0.009,-0.341635,3013.77,2.40403438,1.77,1.62,4.02,5.95,2.12,1.96,2.28,,2.32,59.99,2.54,0,0,0
